ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
892525.45,15.48,2.14,338079.59,5.86
892703.85,15.49,2.14,338118.53,5.87
892744.09,15.49,2.15,337893.13,5.86
892595.61,15.49,2.15,337790.9,5.86
892595.61,15.49,2.15,337708.84,5.86
893091.06,15.5,2.16,337724.39,5.86
893091.06,15.5,2.16,337654.61,5.86
893131.29,15.5,2.16,337393.22,5.86
893291.81,15.51,2.17,337431.04,5.86
893263.64,15.51,2.17,337417.66,5.86
893235.46,15.51,2.17,337400.67,5.86
893275.69,15.52,2.17,337290.42,5.86
893454.09,15.52,2.18,337329.37,5.86
893494.32,15.52,2.18,337499.48,5.86
893878.25,15.53,2.19,336765.84,5.85
894283.91,15.54,2.2,336788.07,5.85
894324.14,15.54,2.2,336868.19,5.85
894609.5,15.55,2.2,336933.67,5.86
894609.5,15.55,2.2,336939.15,5.86
894894.86,15.55,2.21,337200.65,5.86
894746.39,15.55,2.21,337139.06,5.86
895121.54,15.56,2.22,337212.47,5.86
895093.36,15.56,2.22,337175.81,5.86
895065.18,15.57,2.22,337201.38,5.86
